"datasetID";"supportID";"rexaID";"author";"title";"venue";"year";"window";"mykey"
53;"086B189A5B7FF3F466BDB748C0CF272EC1186EDB";"b4b7ea88c807c5c8746bf3067f13b1d07899bcc9";"Andrew Watkins and Jon Timmis and Lois C. Boggess";"Artificial Immune Recognition System (AIRS): An ImmuneInspired Supervised Learning Algorithm";"(abw5,jt6@kent.ac.uk) Computing Laboratory, University of Kent";"";"where classification accuracy of 98% was achieved using a k-value of 3. This seemed to bode well, and further experiments were undertaken using the Fisher <b>Iris</b> data set, Pima diabetes data, Ionosphere data and the Sonar data set, all obtained from the repository at the University of California at Irvine [4]. Table II shows the performance of AIRS on these data sets";83
79;"086B189A5B7FF3F466BDB748C0CF272EC1186EDB";"b4b7ea88c807c5c8746bf3067f13b1d07899bcc9";"Andrew Watkins and Jon Timmis and Lois C. Boggess";"Artificial Immune Recognition System (AIRS): An ImmuneInspired Supervised Learning Algorithm";"(abw5,jt6@kent.ac.uk) Computing Laboratory, University of Kent";"";"where classification accuracy of 98% was achieved using a k-value of 3. This seemed to bode well, and further experiments were undertaken using the Fisher Iris data set, <b>Pima</b> <b>diabetes</b> data, Ionosphere data and the Sonar data set, all obtained from the repository at the University of California at Irvine [4]. Table II shows the performance of AIRS on these data sets";84
14;"08758F084F0C61926AF47778A33DC294804540EF";"9a75a9a8ce786d6a05ad51afa124cd4f70bfbb36";"Rudy Setiono and Huan Liu";"Neural-Network Feature Selector";"Department of Information Systems and Computer Science National University of Singapore";"";"are described below. 1. The University of Wisconsin <b>Breast</b> <b>Cancer</b> Diagnosis Dataset. The Wisconsin Breast Cancer Data (WBCD) is a large data set that consists of 699 patterns of which 458 are benign samples and 241 are malignant samples. Each of these patterns consists of nine";85
17;"08758F084F0C61926AF47778A33DC294804540EF";"9a75a9a8ce786d6a05ad51afa124cd4f70bfbb36";"Rudy Setiono and Huan Liu";"Neural-Network Feature Selector";"Department of Information Systems and Computer Science National University of Singapore";"";"are described below. 1. The University of <b>Wisconsin</b> <b>Breast</b> <b>Cancer</b> Diagnosis Dataset. The Wisconsin Breast Cancer Data (WBCD) is a large data set that consists of 699 patterns of which 458 are benign samples and 241 are malignant samples. Each of these patterns consists of nine";86
15;"08758F084F0C61926AF47778A33DC294804540EF";"9a75a9a8ce786d6a05ad51afa124cd4f70bfbb36";"Rudy Setiono and Huan Liu";"Neural-Network Feature Selector";"Department of Information Systems and Computer Science National University of Singapore";"";"are described below. 1. The University of <b>Wisconsin</b> <b>Breast</b> <b>Cancer</b> Diagnosis Dataset. The Wisconsin Breast Cancer Data (WBCD) is a large data set that consists of 699 patterns of which 458 are benign samples and 241 are malignant samples. Each of these patterns consists of nine";87
16;"08758F084F0C61926AF47778A33DC294804540EF";"9a75a9a8ce786d6a05ad51afa124cd4f70bfbb36";"Rudy Setiono and Huan Liu";"Neural-Network Feature Selector";"Department of Information Systems and Computer Science National University of Singapore";"";"are described below. 1. The University of <b>Wisconsin</b> <b>Breast</b> <b>Cancer</b> Diagnosis Dataset. The Wisconsin Breast Cancer Data (WBCD) is a large data set that consists of 699 patterns of which 458 are benign samples and 241 are malignant samples. Each of these patterns consists of nine";88
105;"08758F084F0C61926AF47778A33DC294804540EF";"9a75a9a8ce786d6a05ad51afa124cd4f70bfbb36";"Rudy Setiono and Huan Liu";"Neural-Network Feature Selector";"Department of Information Systems and Computer Science National University of Singapore";"";"1990 [17]. For our experiment, 315 samples were randomly selected for training, 35 samples were selected for cross-validation, and 349 for testing. 2. United States Congressional <b>voting records</b> Dataset. The dataset consists of the voting records of 435 congressmen on 16 major issues in the 98th Congress. The votes are classified into one of the three different types of votes: yea, nay, and";89
151;"08758F084F0C61926AF47778A33DC294804540EF";"9a75a9a8ce786d6a05ad51afa124cd4f70bfbb36";"Rudy Setiono and Huan Liu";"Neural-Network Feature Selector";"Department of Information Systems and Computer Science National University of Singapore";"";"set consists of the remaining 384 samples. Applying the ADAP algorithm trained on 576 samples, Smith et al. [19] achieved an accuracy rate of 76 % on the remaining 192 samples. 4. <b>sonar</b> Targets Dataset. The sonar returns classification dataset [20] consists of 208 sonar returns, each of which is represented by 60 real numbers between 0.0 and 1.0. The task is to distinguish between returns from a";90
34;"08758F084F0C61926AF47778A33DC294804540EF";"9a75a9a8ce786d6a05ad51afa124cd4f70bfbb36";"Rudy Setiono and Huan Liu";"Neural-Network Feature Selector";"Department of Information Systems and Computer Science National University of Singapore";"";"or republican. We selected 197 patterns for training randomly, 21 patterns for cross-validation, and 217 patterns for testing. Schlimmer [18] reported getting an accuracy rate of 90%-95% on this dataset. 3. Pima Indians <b>Diabetes</b> Dataset. The dataset consists of 768 samples taken from patients who may show signs of diabetes. 15 Each sample is described by 8 attributes, 1 attribute has discrete";91
79;"08758F084F0C61926AF47778A33DC294804540EF";"9a75a9a8ce786d6a05ad51afa124cd4f70bfbb36";"Rudy Setiono and Huan Liu";"Neural-Network Feature Selector";"Department of Information Systems and Computer Science National University of Singapore";"";"or republican. We selected 197 patterns for training randomly, 21 patterns for cross-validation, and 217 patterns for testing. Schlimmer [18] reported getting an accuracy rate of 90%-95% on this dataset. 3. <b>Pima</b> <b>Indians</b> <b>Diabetes</b> Dataset. The dataset consists of 768 samples taken from patients who may show signs of diabetes. 15 Each sample is described by 8 attributes, 1 attribute has discrete";92
7;"08A9B09FC745C708A203F866345105A8F76C7961";"530fcdd0328ad3ead3dc608a82f85bff2fd5a792";"Alexander K. Seewald and Johann Petrak and Gerhard Widmer";"Hybrid Decision Tree Learners with Alternative Leaf Classifiers: An Empirical Study";"FLAIRS Conference";"2001";"sizes of the trees generated on the complete training set. Table 2. Classification errors (%) and standard deviations for base learners: J48 with reduced error pruning, Linear, IB1 and NaiveBayes. Dataset J48-R Linear IB1 NaiveBayes <b>audiology</b> 25.44#1.87 20.93#0.98 21.90#0.56 27.79#0.65 autos 29.61#2.40 34.59#1.77 25.95#1.00 42.24#1.26 balance-scale 21.22#1.25 13.38#0.58 13.25#0.55 9.50#0.29";93
8;"08A9B09FC745C708A203F866345105A8F76C7961";"530fcdd0328ad3ead3dc608a82f85bff2fd5a792";"Alexander K. Seewald and Johann Petrak and Gerhard Widmer";"Hybrid Decision Tree Learners with Alternative Leaf Classifiers: An Empirical Study";"FLAIRS Conference";"2001";"sizes of the trees generated on the complete training set. Table 2. Classification errors (%) and standard deviations for base learners: J48 with reduced error pruning, Linear, IB1 and NaiveBayes. Dataset J48-R Linear IB1 NaiveBayes <b>audiology</b> 25.44#1.87 20.93#0.98 21.90#0.56 27.79#0.65 autos 29.61#2.40 34.59#1.77 25.95#1.00 42.24#1.26 balance-scale 21.22#1.25 13.38#0.58 13.25#0.55 9.50#0.29";94
53;"08E5909A0FF33ABB6E640D6792A0E17BAFD16EAA";"9ad134b043c73e8215bea14ecf8a270904b0b535";"Enes Makalic and Lloyd Allison and David L. Dowe";"MML INFERENCE OF SINGLE-LAYER NEURAL NETWORKS";"School of Computer Science and Software Engineering Monash University";"";"0.20, overfitting was observed -- MDL inferred four hidden neurons as optimal rather than three (see Fig. 4). 780 790 800 810 820 830 840 850 1 2 3 4 5 6 Message length (nits) Hidden Neurons <b>Iris</b> Dataset MML Figure 5. MML inference of the Iris dataset Finally, we have tested both MML and MDL-based criteria on a real problem: the Iris dataset from the UCI machine learning repository. This is";95
10;"0900E65BB45CC80D3E4FC1A5AE3E655589EC9907";"e746c17201da2dd72583f7b9b0c2a6ba310412f4";"Geraldine E. Rosario and Elke A. Rundensteiner and David C. Brown and Matthew O. Ward";"Mapping Nominal Values to Numbers for Effective Visualization";"INFOVIS";"2003";"strength of association between two nominal variables)? In general, which quantification do you feel is better (easier to understand, more believable ordering and spacing)? 7.5.1 <b>Automobile</b> Data Set Case Study We chose the Automobile Data Set because it is easy to interpret. The variables we analyzed are make, fuel type, aspiration, number of doors, body type, wheels, engine location, engine";96
74;"0903095816D8E6A1CBECE976A6F2BACC97BB4CFD";"49d2b638ade35a870fbca0a82994404cdacfa902";"Zhi-Hua Zhou and Min-Ling Zhang";"Ensembles of Multi-instance Learners";"ECML";"2003";"bags, and the number of instances contained in each bag ranges from 1 to 1,044. Detailed information on the <b>Musk</b> data is tabulated in Table 2. Ten-fold cross validation is performed on each Musk data set. In each fold, Bagging is employed to build an ensemble for each of the four base multi-instance learners, i.e. Iterated-discrim APR, Diverse Density, Citation-kNN, and EM-DD. Each ensemble";97
75;"0903095816D8E6A1CBECE976A6F2BACC97BB4CFD";"49d2b638ade35a870fbca0a82994404cdacfa902";"Zhi-Hua Zhou and Min-Ling Zhang";"Ensembles of Multi-instance Learners";"ECML";"2003";"bags, and the number of instances contained in each bag ranges from 1 to 1,044. Detailed information on the <b>Musk</b> data is tabulated in Table 2. Ten-fold cross validation is performed on each Musk data set. In each fold, Bagging is employed to build an ensemble for each of the four base multi-instance learners, i.e. Iterated-discrim APR, Diverse Density, Citation-kNN, and EM-DD. Each ensemble";98
7;"091D64F79AA96D3B413514079D26E25BC6D456DA";"019c2f2e77588b6e654cc5c4c27ae643d3bd0f62";"Thomas G. Dietterich and Ghulum Bakiri";"Solving Multiclass Learning Problems via Error-Correcting Output Codes";"CoRR, csAI/9501101";"1995";"as ``soybean-large'', the ``audiologyS'' data set as ` <b>audiology</b> standardized'', and the ``letter'' data set as ``letter-recognition''. 267 Dietterich & Bakiri 2.2 Learning Algorithms We employed two general classes of learning methods: algorithms";99
8;"091D64F79AA96D3B413514079D26E25BC6D456DA";"019c2f2e77588b6e654cc5c4c27ae643d3bd0f62";"Thomas G. Dietterich and Ghulum Bakiri";"Solving Multiclass Learning Problems via Error-Correcting Output Codes";"CoRR, csAI/9501101";"1995";"as ``soybean-large'', the ``audiologyS'' data set as ` <b>audiology</b> standardized'', and the ``letter'' data set as ``letter-recognition''. 267 Dietterich & Bakiri 2.2 Learning Algorithms We employed two general classes of learning methods: algorithms";100
150;"091D64F79AA96D3B413514079D26E25BC6D456DA";"019c2f2e77588b6e654cc5c4c27ae643d3bd0f62";"Thomas G. Dietterich and Ghulum Bakiri";"Solving Multiclass Learning Problems via Error-Correcting Output Codes";"CoRR, csAI/9501101";"1995";"employed in the study. The glass, vowel, soybean, audiologyS, ISOLET, letter, and <b>NETtalk</b> data sets are available from the Irvine Repository of machine learning databases (Murphy & Aha, 1994). 1 The POS (part of speech) data set was provided by C. Cardie (personal communication); an earlier";101
42;"091D64F79AA96D3B413514079D26E25BC6D456DA";"019c2f2e77588b6e654cc5c4c27ae643d3bd0f62";"Thomas G. Dietterich and Ghulum Bakiri";"Solving Multiclass Learning Problems via Error-Correcting Output Codes";"CoRR, csAI/9501101";"1995";"Table 4 summarizes the data sets employed in the study. The <b>glass</b>  vowel, soybean, audiologyS, ISOLET, letter, and NETtalk data sets are available from the Irvine Repository of machine learning databases (Murphy & Aha, 1994). 1";102
54;"091D64F79AA96D3B413514079D26E25BC6D456DA";"019c2f2e77588b6e654cc5c4c27ae643d3bd0f62";"Thomas G. Dietterich and Ghulum Bakiri";"Solving Multiclass Learning Problems via Error-Correcting Output Codes";"CoRR, csAI/9501101";"1995";"employed in the study. The glass, vowel, soybean, audiologyS, <b>ISOLET</b>  letter, and NETtalk data sets are available from the Irvine Repository of machine learning databases (Murphy & Aha, 1994). 1 The POS (part of speech) data set was provided by C. Cardie (personal communication); an earlier";103
59;"091D64F79AA96D3B413514079D26E25BC6D456DA";"019c2f2e77588b6e654cc5c4c27ae643d3bd0f62";"Thomas G. Dietterich and Ghulum Bakiri";"Solving Multiclass Learning Problems via Error-Correcting Output Codes";"CoRR, csAI/9501101";"1995";"round, but instead performs jamming (i.e., forcing the lowest order bit to 1 when low order bits are lost due to shifting or multiplication). On the speech recognition, <b>letter recognition</b>  and vowel data sets, we employed the opt system distributed by Oregon Graduate Institute (Barnard & Cole, 1989). This implements the conjugate gradient algorithm and updates the gradient after each complete pass";104
90;"091D64F79AA96D3B413514079D26E25BC6D456DA";"019c2f2e77588b6e654cc5c4c27ae643d3bd0f62";"Thomas G. Dietterich and Ghulum Bakiri";"Solving Multiclass Learning Problems via Error-Correcting Output Codes";"CoRR, csAI/9501101";"1995";"employed in the study. The glass, vowel, <b>soybean</b>  audiologyS, ISOLET, letter, and NETtalk data sets are available from the Irvine Repository of machine learning databases (Murphy & Aha, 1994). 1 The POS (part of speech) data set was provided by C. Cardie (personal communication); an earlier";105
91;"091D64F79AA96D3B413514079D26E25BC6D456DA";"019c2f2e77588b6e654cc5c4c27ae643d3bd0f62";"Thomas G. Dietterich and Ghulum Bakiri";"Solving Multiclass Learning Problems via Error-Correcting Output Codes";"CoRR, csAI/9501101";"1995";"employed in the study. The glass, vowel, <b>soybean</b>  audiologyS, ISOLET, letter, and NETtalk data sets are available from the Irvine Repository of machine learning databases (Murphy & Aha, 1994). 1 The POS (part of speech) data set was provided by C. Cardie (personal communication); an earlier";106
151;"093083A5664DE02C0648062E1AF92669D268BF45";"d8bc3a2d334e33553c2c7e052ce8c2fd9ae5718b";"Marina Skurichina and Ludmila Kuncheva and Robert P W Duin";"Bagging and Boosting for the Nearest Mean Classifier: Effects of Sample Size on Diversity and Accuracy";"Multiple Classifier Systems";"2002";"the 34-dimensional ionosphere data set and the 60-dimensional <b>sonar</b> data set. Training sets are chosen randomly and the remaining data are used for testing. All experiments are repeated 50 times on independent training sets. So all the";107
34;"093083A5664DE02C0648062E1AF92669D268BF45";"d8bc3a2d334e33553c2c7e052ce8c2fd9ae5718b";"Marina Skurichina and Ludmila Kuncheva and Robert P W Duin";"Bagging and Boosting for the Nearest Mean Classifier: Effects of Sample Size on Diversity and Accuracy";"Multiple Classifier Systems";"2002";"are taken from the UCI Repository [22]. They are the 8dimensional pima <b>diabetes</b> data set, the 34-dimensional ionosphere data set and the 60-dimensional sonar data set. Training sets are chosen randomly and the remaining data are used for testing. All experiments are repeated 50 times on";108
52;"093083A5664DE02C0648062E1AF92669D268BF45";"d8bc3a2d334e33553c2c7e052ce8c2fd9ae5718b";"Marina Skurichina and Ludmila Kuncheva and Robert P W Duin";"Bagging and Boosting for the Nearest Mean Classifier: Effects of Sample Size on Diversity and Accuracy";"Multiple Classifier Systems";"2002";"are taken from the UCI Repository [22]. They are the 8dimensional pima-diabetes data set, the 34-dimensional <b>ionosphere</b> data set and the 60-dimensional sonar data set. Training sets are chosen randomly and the remaining data are used for testing. All experiments are repeated 50 times on";109
79;"093083A5664DE02C0648062E1AF92669D268BF45";"d8bc3a2d334e33553c2c7e052ce8c2fd9ae5718b";"Marina Skurichina and Ludmila Kuncheva and Robert P W Duin";"Bagging and Boosting for the Nearest Mean Classifier: Effects of Sample Size on Diversity and Accuracy";"Multiple Classifier Systems";"2002";"are taken from the UCI Repository [22]. They are the 8dimensional <b>pima</b> <b>diabetes</b> data set, the 34-dimensional ionosphere data set and the 60-dimensional sonar data set. Training sets are chosen randomly and the remaining data are used for testing. All experiments are repeated 50 times on";110
40;"097855A85DDB73849B9AFA38CF76BF2DDA9D0F06";"d4ea16b5ea06d216f7d2be28615fa9c66b98bbea";"George H. John and Ron Kohavi and Karl Pfleger";"Irrelevant Features and the Subset Selection Problem";"ICML";"1994";"The C4.5 program is the program that comes with Quinlan's book (Quinlan 1992); the ID3 results were obtained by running C4.5 and using the unpruned trees. On the artificial datasets, we used the ``-s -m1'' C4.5 <b>flags</b>  which indicate that subset splits may be used and that splitting should continue until purity. To estimate the accuracy for feature subsets, we used 25-fold";111
53;"097855A85DDB73849B9AFA38CF76BF2DDA9D0F06";"d4ea16b5ea06d216f7d2be28615fa9c66b98bbea";"George H. John and Ron Kohavi and Karl Pfleger";"Irrelevant Features and the Subset Selection Problem";"ICML";"1994";"performance was on parity5+5 and CorrAL using stepwise backward elimination, which reduced the error to 0% from 50% and 18.8% respectively. Experiments were also run on the <b>Iris</b>  Thyroid, and Monk1* datasets. The results on these datasets were similar to those reported in this paper. We observed high variance in the 25-fold crossvalidation estimates of the error. Since our algorithms depend on";112
56;"097855A85DDB73849B9AFA38CF76BF2DDA9D0F06";"d4ea16b5ea06d216f7d2be28615fa9c66b98bbea";"George H. John and Ron Kohavi and Karl Pfleger";"Irrelevant Features and the Subset Selection Problem";"ICML";"1994";"was divided by Quinlan into 490 training instances and 200 test instances. <b>Labor</b> The dataset contains instances for acceptable and unacceptable contracts. It is a small dataset with 16 features, a training set of 40 instances, and a test set of 17 instances. Our results show that the main";113
102;"097855A85DDB73849B9AFA38CF76BF2DDA9D0F06";"d4ea16b5ea06d216f7d2be28615fa9c66b98bbea";"George H. John and Ron Kohavi and Karl Pfleger";"Irrelevant Features and the Subset Selection Problem";"ICML";"1994";"performance was on parity5+5 and CorrAL using stepwise backward elimination, which reduced the error to 0% from 50% and 18.8% respectively. Experiments were also run on the Iris, <b>Thyroid</b>  and Monk1* datasets. The results on these datasets were similar to those reported in this paper. We observed high variance in the 25-fold crossvalidation estimates of the error. Since our algorithms depend on";114
42;"09CF46C3DD847FF00393B67945EB9BD0773DBF22";"abe4b819b1c9858440502f14d418706d2446c387";"Giorgio Valentini and Francesco Masulli";"NEURObjects: an object-oriented library for neural network development";"Neurocomputing, 48";"2002";"validation [35]. The folds can be prepared using the program dofold in a simple way: dofold <b>glass</b> data -nf 10 -na 9 -name glass This command build the folds for a ten fold cross validation test. The data set is glass from the UCI Machine Learning repository [29]. Ten folds from the data file glass.data (named glass.#.train and glass.#.test varying i from 1 to 10) are extracted (the option -na specifies";115
2;"0AA72445CF8CCDE0888944C44273F955FEB38357";"46a760d333f90e12eb326d2b17c90aa70c01d1df";"John C. Platt";"Using Analytic QP and Sparseness to Speed Training of Support Vector Machines";"NIPS";"1998";"can be found in [8, 7]. The first test set is the UCI <b>Adult</b> data set [5]. The SVM is given 14 attributes of a census form of a household and asked to predict whether that household has an income greater than $50,000. Out of the 14 attributes, eight are categorical";116
20;"0AA72445CF8CCDE0888944C44273F955FEB38357";"46a760d333f90e12eb326d2b17c90aa70c01d1df";"John C. Platt";"Using Analytic QP and Sparseness to Speed Training of Support Vector Machines";"NIPS";"1998";"can be found in [8, 7]. The first test set is the UCI Adult data set [5]. The SVM is given 14 attributes of a <b>census</b> form of a household and asked to predict whether that household has an income greater than $50,000. Out of the 14 attributes, eight are categorical";117
151;"0AC32B90D1BDE0AFF7CC7BEEF2A6B37847D956D9";"80c67287e3ef7fe9828d8c898a3eacb7f1f4ebac";"Ronaldo C. Prati and Peter A. Flach";"ROCCER: A ROC convex hull rule learning algorithm";"Institute of Mathematics and Computer Science at University of So Paulo";"";"# attributes # examples class distribution German 20 1000 bad (30%), good (70%) Pima 8 768 1 (34,8%), 0 (65,2%) <b>Sonar</b> 61 208 mine (46,6%), rock (53,4%) Table 1. Datasets summary. These datasets were chosen because classifiers using standard machine learning algorithms for those datasets are reported in the literature as having AUC values lower than 80%. As";118
45;"0AF62FC29899C1B89A36ACA3D83C8B06709DF325";"7690bf25f9378bae80e6412c3eb149cd3f7ebdc6";"Rudy Setiono and Wee Kheng Leow";"FERNN: An Algorithm for Fast Extraction of Rules from Neural Networks";"Appl. Intell, 12";"2000";"decision nodes may also improve the accuracy of the tree because samples from real world problems may be better separated by oblique hyperplanes. This is the case with the <b>heart</b> disease data set (HeartD in Table 2) where significant improvement is achieved by the neural network methods over C4.5. There is no significant difference in the accuracy and size of the decision trees generated by";119
34;"0AF9BBB399027FD905DBF49D122F9DB486CE2434";"96246754b7958de8a635165e8b145c264240cd3d";"Huan Liu and Rudy Setiono";"Feature Transformation and Multivariate Decision Tree Induction";"Discovery Science";"1998";"those of OC1's, in which two of the OC1's trees are smaller. In 9 cases, trees by BMDT are significantly different from those of CART's, in which only one of CART's trees is smaller. An example: The dataset is Pima <b>diabetes</b>  In Table 3, it is seen that C4.5 creates a UDT with average tree size of 122.4 nodes, BMDT builds an MDT with average tree size of 3 nodes. That means the MDT has one root and two";120
48;"0AF9BBB399027FD905DBF49D122F9DB486CE2434";"96246754b7958de8a635165e8b145c264240cd3d";"Huan Liu and Rudy Setiono";"Feature Transformation and Multivariate Decision Tree Induction";"Discovery Science";"1998";"351 34 continuous 11 Iris 150 4 continuous 12 Pima-diabetes 768 8 continuous 13 Sonar 208 60 continuous 14 Australian 690 14 mixed 15 HeartDisease 297 13 mixed 16 <b>Housing</b> 506 13 mixed Table 1. Dataset Summary. #Data - data size, Type - attribute type, and #A - number of attributes. neural networks (NN) based on which BMDT builds MDT's. We want to understand whether the difference between every";121
79;"0AF9BBB399027FD905DBF49D122F9DB486CE2434";"96246754b7958de8a635165e8b145c264240cd3d";"Huan Liu and Rudy Setiono";"Feature Transformation and Multivariate Decision Tree Induction";"Discovery Science";"1998";"those of OC1's, in which two of the OC1's trees are smaller. In 9 cases, trees by BMDT are significantly different from those of CART's, in which only one of CART's trees is smaller. An example: The dataset is <b>Pima</b> <b>diabetes</b>  In Table 3, it is seen that C4.5 creates a UDT with average tree size of 122.4 nodes, BMDT builds an MDT with average tree size of 3 nodes. That means the MDT has one root and two";122
152;"0AFCE6FDD485F3847D9541C716A903945DB40B61";"61f13a0ee6d86b2c3576af921d81a77e5d82809e";"M. Layton and M. J. F Gales";"CAMBRIDGE UNIVERSITY ENGINEERING DEPARTMENT Maximum Margin Training of Generative Kernels";"CUED";"2004";"the number of iterations required for convergence increased significantly (34 iterations were required for C = 10, whereas 1,084 were required for C = 0.1). 15 5.2 <b>Deterding</b> data The Deterding dataset [6] consists of the steady-state portion of 11 vowels in British English, spoken in the context of h*d. The recorded speech samples were low-pass filtered at 4.7KHz before being digitised at 10KHz";123
151;"0B3E886EE7E63492903EFE5385D93B5B26DCCBB2";"e6315f170eea3cc52ade688d0abb40f3372ec35d";"Zhi-Hua Zhou and Yuan Jiang";"NeC4.5: Neural Ensemble Based C4.5";"IEEE Trans. Knowl. Data Eng, 16";"2004";"ensemble. Moreover, Table III shows that the generalization ability of NeC4.5 with µ = 0% is still better than that of C4.5. In detail, pairwise two-tailed t-tests indicate that there are seven data sets (cleveland, diabetes, ionosphere, liver, <b>sonar</b>  waveform21, and waveform40) where NeC4.5 with µ = 0% is significantly more accurate than C4.5, while there is no significant difference on the";124
34;"0B3E886EE7E63492903EFE5385D93B5B26DCCBB2";"e6315f170eea3cc52ade688d0abb40f3372ec35d";"Zhi-Hua Zhou and Yuan Jiang";"NeC4.5: Neural Ensemble Based C4.5";"IEEE Trans. Knowl. Data Eng, 16";"2004";"ensemble. Moreover, Table III shows that the generalization ability of NeC4.5 with µ = 0% is still better than that of C4.5. In detail, pairwise two-tailed t-tests indicate that there are seven data sets (cleveland, <b>diabetes</b>  ionosphere, liver, sonar, waveform21, and waveform40) where NeC4.5 with µ = 0% is significantly more accurate than C4.5, while there is no significant difference on the";125
45;"0B3E886EE7E63492903EFE5385D93B5B26DCCBB2";"e6315f170eea3cc52ade688d0abb40f3372ec35d";"Zhi-Hua Zhou and Yuan Jiang";"NeC4.5: Neural Ensemble Based C4.5";"IEEE Trans. Knowl. Data Eng, 16";"2004";"are tabulated in Table III. Table III shows that the generalization ability of NeC4.5 with µ = 100% is better than that of C4.5. In detail, pairwise two-tailed t-tests indicate that there are ten data sets (balance, breast, cleveland, credit, <b>heart</b>  iris, vehicle, waveform21, waveform40, and wine) where NeC4.5 with µ = 100% is significantly more accurate than C4.5, while there is no significant";126
52;"0B3E886EE7E63492903EFE5385D93B5B26DCCBB2";"e6315f170eea3cc52ade688d0abb40f3372ec35d";"Zhi-Hua Zhou and Yuan Jiang";"NeC4.5: Neural Ensemble Based C4.5";"IEEE Trans. Knowl. Data Eng, 16";"2004";"ensemble. Moreover, Table III shows that the generalization ability of NeC4.5 with µ = 0% is still better than that of C4.5. In detail, pairwise two-tailed t-tests indicate that there are seven data sets (cleveland, diabetes, <b>ionosphere</b>  liver, sonar, waveform21, and waveform40) where NeC4.5 with µ = 0% is significantly more accurate than C4.5, while there is no significant difference on the";127
60;"0B3E886EE7E63492903EFE5385D93B5B26DCCBB2";"e6315f170eea3cc52ade688d0abb40f3372ec35d";"Zhi-Hua Zhou and Yuan Jiang";"NeC4.5: Neural Ensemble Based C4.5";"IEEE Trans. Knowl. Data Eng, 16";"2004";"ensemble. Moreover, Table III shows that the generalization ability of NeC4.5 with µ = 0% is still better than that of C4.5. In detail, pairwise two-tailed t-tests indicate that there are seven data sets (cleveland, diabetes, ionosphere, <b>liver</b>  sonar, waveform21, and waveform40) where NeC4.5 with µ = 0% is significantly more accurate than C4.5, while there is no significant difference on the";128
102;"0B3E886EE7E63492903EFE5385D93B5B26DCCBB2";"e6315f170eea3cc52ade688d0abb40f3372ec35d";"Zhi-Hua Zhou and Yuan Jiang";"NeC4.5: Neural Ensemble Based C4.5";"IEEE Trans. Knowl. Data Eng, 16";"2004";"To explore this issue, further experiments are performed on data sets (australian, page, <b>thyroid</b>  voting, wdbc, wpbc) where neither NeC4.5 with µ = 100% nor NeC4.5 with µ = 0% is significantly more accurate than C4.5. The results are depicted in Fig.s 1 and 2. Note";129
1;"0C11D0228D5FEA3664578A7F58126D4CAC197C3A";"ac35cdc4f306058543fb3fbf817fc84d85f89288";"Johannes Furnkranz";"Round Robin Rule Learning";"Austrian Research Institute for Artificial Intelligence";"";"9 Classification time is only included in the runs that had a separate test set. In general, it can be expected to be more expensive for R 3 . See Section 7 for a brief discussion of this issue. 12 dataset C5 -b vs. C5 R 3 vs. unord vs. order <b>abalone</b> 23.34 10.81 193.0 4.51 5.73 covertype --- --- --- ---- ---- letter 73.37 6.64 1250.0 0.51 1.14 sat 27.86 9.10 143.0 0.85 1.51 shuttle 35.98 5.67 277.0";130
31;"0C11D0228D5FEA3664578A7F58126D4CAC197C3A";"ac35cdc4f306058543fb3fbf817fc84d85f89288";"Johannes Furnkranz";"Round Robin Rule Learning";"Austrian Research Institute for Artificial Intelligence";"";"6) Ripper. The first five lines are total run-times, i.e., training and test time, while the cross-validated results report training time only. We failed to measure the run-times for the <b>covertype</b> data set, where the situation was complicated because of the large test set, which had to be split into several pieces for the Ripper-based algorithms. The last line shows the average of the 17";131
110;"0C11D0228D5FEA3664578A7F58126D4CAC197C3A";"ac35cdc4f306058543fb3fbf817fc84d85f89288";"Johannes Furnkranz";"Round Robin Rule Learning";"Austrian Research Institute for Artificial Intelligence";"";"683 --- 35 0 19 94.1 thyroid (hyper) 3772 --- 21 6 5 2.7 thyroid (hypo) 3772 --- 21 6 5 7.7 thyroid (repl.) 3772 --- 21 6 4 3.3 vehicle 846 --- 0 18 4 74.2 <b>yeast</b> 1484 --- 0 8 10 68.8 Table 1: Data sets used. The first two columns show the training and test set sizes (as specified in the description of the datasets), the next three columns show the number of symbolic and numeric attributes as well";132
1;"0C543EE2403E5E986309215F48B47EF69BF46806";"abf0c261ab7aa462cd5cbc290cb7963cdf4f9ee8";"Miguel Moreira and Alain Hertz and Eddy Mayoraz";"Data binarization by discriminant elimination";"Proceedings of the ICML-99 Workshop: From Machine Learning to";"";"The bottom row shows the number of wins, including ties. Initial Final set size set n.con#icts entropy random choice data set size local global local global avg. min. <b>abalone</b> 5779 192 177 724 220 282.6 #21.6 240 allhyper 440 21 33 36 34 30.4 #4.3 22 allhypo 548 20 32 43 48 35.2 #6.2 17 anneal 134 31 31 30 30 30.9 #2.1 28";133
59;"0C543EE2403E5E986309215F48B47EF69BF46806";"abf0c261ab7aa462cd5cbc290cb7963cdf4f9ee8";"Miguel Moreira and Alain Hertz and Eddy Mayoraz";"Data binarization by discriminant elimination";"Proceedings of the ICML-99 Workshop: From Machine Learning to";"";"the end, that is, to test the redundancy of all the discriminants in the initial set. Figure 3 shows the evolution of the elimination process with the conflict-based weighting method for four of the data sets. In the case of <b>Letter Recognition</b>  for example, the algorithm starts with 234 discriminants and takes almost 3500 seconds to find a final set with 59. However, after 1000 sec. only 69";134
